nombreAnime;franquicia;anioLanzamiento;temas;episodios;generos;estudioAnimacion;descripcion
Naruto;Naruto;2002;artes marciales;220;accion, aventura, fantasia;Pierrot;Un joven ninja con sueños grandes y una determinación inquebrantable lucha por ser reconocido como el líder de su aldea y obtener la aceptación de sus compañeros
One piece;One piece;1999;ninguno;1106;accion, aventura, fantasia;Toei Animation;Un intrépido pirata con sombrero de paja, junto a su tripulación variopinta, busca un legendario tesoro en un mundo lleno de aventuras y peligros marinos
Naruto: Shippuden;Naruto;2007;artes marciales;500;accion, aventura, fantasia;Pierrot;El viaje de un ninja adolescente que madura en un mundo de guerras y traiciones, persiguiendo la paz y la redención, enfrentando a amigos y enemigos del pasado.
Code Geass: Lelouch of the Rebellion;Code Geass;2006;mecha, militar, escuela, superpoder;25;accion, drama, sci-fi;Sunrise;Un príncipe exiliado, dotado con un poder misterioso, lidera una rebelión contra un imperio tiránico en un juego de estrategia política y conflictos mecha.
Code Geass: Lelouch of the Rebellion R2;Code Geass;2008;mecha, militar, escuela, superpoder;25;accion, drama, sci-fi;Sunrise;Un líder rebelde renacido, con nuevas alianzas y enemigos, desafía un régimen opresivo mientras lucha por la libertad y la redención personal en un mundo de conspiraciones.
Dragon Ball;Dragon Ball;1986;artes marciales, superpoder;153;accion, aventura, comedia, fantasia;Toei Animation;Un joven artista marcial con un corazón puro se embarca en aventuras épicas, desafíos de poder y amistades duraderas mientras busca unas esferas legendarias.
Dragon Ball Z;Dragon Ball;1989;artes marciales, superpoder;291;accion, aventura, comedia, fantasia;Toei Animation;La continuación de las aventuras del guerrero, ahora enfrentando desafíos cósmicos y enemigos intergalácticos, defendiendo la Tierra con nuevos poderes y aliados.
Dragon Ball Super;Dragon Ball;2015;artes marciales, superpoder;131;accion, aventura, comedia, fantasia;Toei Animation;El épico retorno del guerrero y sus amigos en una saga que explora nuevos universos, poderes divinos y enfrentamientos cósmicos, desafiando límites y amenazas inimaginables.
Dragon Ball GT;Dragon Ball;1996;artes marciales, superpoder;64;accion, aventura, comedia, fantasia;Toei Animation;Una odisea intergaláctica que sigue al guerrero y sus compañeros en la búsqueda de las esferas legendarias dispersas por la galaxia, enfrentando desafíos cósmicos y antiguos enemigos.
Attack on Titan;Attack on Titan;2013;gore, militar, supervivencia;25;accion, drama, suspenso;Wit Studio;En un mundo donde la humanidad lucha por sobrevivir ante titanes devoradores de hombres, un joven busca venganza mientras descubre secretos oscuros sobre su mundo y su propia identidad.
